LOB-RiskID,Program,Tranche,FileName,Program ID,Allocation method,Spend USD 2020,Spend USD 2021,Spend USD 2022,Spend USD 2023,Spend USD 2024,Spend USD 2025,Spend USD 2026
CRESS-REFFL,Service Center Optimization,,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Regional Optimization,,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Facilities Management and Preventative Maintenance Program,,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Facility Inspection Program,,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Security System Hardening,,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Renovate or Relocate Facilities Other than SFGO [Materials racking],,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
CRESS-REFFL,Renovate or Relocate Facilities Other than SFGO [Structural and non-structural bldg],,CRESS-REFFL-03_RSE Input File.xlsm,,prorate by Program exposure,,,,,,,
EHS-CNTSI,Contractor Pre-Qualification,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-PRGA,prorate by Program exposure,,,,,,,
EHS-CNTSI,Contractor Safety Oversight and Compliance,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-PRGB,prorate by Program exposure,,,,,,,
EHS-CNTSI,Work Permits,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M11b,prorate by Program exposure,,,,,,,
EHS-CNTSI,Safety Scorecard,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M11a,prorate by Program exposure,,,,,,,
EHS-CNTSI,Contractor Safety Handbook,Contract employees,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M015,% of Total Cost (specify to the right),,1.0,,,,,
EHS-CNTSI,Contractor On-Boarding,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M013,prorate by Program exposure,,,,,,,
EHS-CNTSI,Tracking Contractor Workers,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M016,prorate by Program exposure,,,,,,,
EHS-CNTSI,OSHA Programs Training Requirements,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M017,prorate by Program exposure,,,,,,,
EHS-CNTSI,ISNs individual badge feature,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M12a,prorate by Program exposure,,,,,,,
EHS-CNTSI,Contractor Near-hits/Good-Catches,,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M12b,prorate by Program exposure,,,,,,,
EHS-CNTSI,Contractor Safety Officer Criteria,Contract employees,EHS-CNTSI-3_RSE Input File.xlsm,CNTSI-M018,% of Total Cost (specify to the right),,1.0,1.0,,,,
EHS-EMPSI,"A - Health and Safety Guidance, Training, and Oversight",,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-PRGA,prorate by Program exposure,,,,,,,
EHS-EMPSI,C - SIF Prevention Program and Field Oversight,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-PRGC,prorate by Program exposure,,,,,,,
EHS-EMPSI,D - Employee Health and Wellness,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-PRGD,prorate by Program exposure,,,,,,,
EHS-EMPSI,E - Benefit Plans and Policy,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-PRGE,prorate by Program exposure,,,,,,,
EHS-EMPSI,B - Corrective Action Program,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-PRGB,prorate by Program exposure,,,,,,,
EHS-EMPSI,M1B-Enterprise Safety Management System (ESMS) Implementation,Office Employees,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M01B,% of Total Cost (specify to the right),0.5944566652001759,0.5944566652001759,0.5944566652001759,0.5944566652001759,0.5944566652001759,0.5944566652001759,0.5944566652001759
EHS-EMPSI,M1B-Enterprise Safety Management System (ESMS) Implementation,Field Employees - Gas Operations,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M01B,% of Total Cost (specify to the right),0.1432908051033876,0.1432908051033876,0.1432908051033876,0.1432908051033876,0.1432908051033876,0.1432908051033876,0.1432908051033876
EHS-EMPSI,M1B-Enterprise Safety Management System (ESMS) Implementation,Field Employees - Electric Operations,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M01B,% of Total Cost (specify to the right),0.1686757589089309,0.1686757589089309,0.1686757589089309,0.1686757589089309,0.1686757589089309,0.1686757589089309,0.1686757589089309
