Tranche,Tranche_all
Helicopter - Passenger Ferry,Helicopter - All
Helicopter - Patrol or Inspection,Helicopter - All
Fixed Wing - Patrol or Inspection,Helicopter - All
Helicopter - Insulator Wash,Helicopter - All
Helicopter - Human External Cargo,Helicopter - All
Helicopter - Cargo or Lift,Helicopter - All
HFTD - Distribution - 5QU CoRE | 5QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 4QU CoRE | 2QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 2QU CoRE | 3QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 3QU CoRE | 3QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 4QU CoRE | 5QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 3QU CoRE | 5QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 5QU CoRE | 4QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 1QU CoRE | 4QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 1QU CoRE | 5QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 5QU CoRE | 3QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 1QU CoRE | 2QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 2QU CoRE | 4QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 3QU CoRE | 2QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 2QU CoRE | 2QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 2QU CoRE | 1QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 3QU CoRE | 4QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 4QU CoRE | 3QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 5QU CoRE | 1QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 4QU CoRE | 4QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 5QU CoRE | 2QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 4QU CoRE | 1QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 1QU CoRE | 3QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 2QU CoRE | 5QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 1QU CoRE | 1QU LoRE,HFTD - Distribution - All
HFTD - Distribution - 3QU CoRE | 1QU LoRE,HFTD - Distribution - All
C&P – ?All Facilities,C&P – ?All Facilities
Electric Distribution Overhead Assets - All,Electric Distribution Overhead Assets - All
Field Employees - Electric Operations,Field Employees - All
Field Employees - Generation,Field Employees - All
Field Employees - Gas Operations,Field Employees - All
Field Employees - Other,Field Employees - All
