AssetID,AssetType,Commodity,System,InstallDate,AgeYears,ConditionScore,LastMaintenanceDate,InspectionDate,Region,Latitude,Longitude,DiameterInches,Material,CoatingType,SeamType,MAOP_psig,HCA_Flag,ClassLocation,SoilCorrosivityIndex,CPZoneID,CPStatus,LastCPSurveyDate,PipeToSoilPotential_mV,LastILI_Date,ILI_Anomalies_Count,LeakHistoryCount,CorrosionRiskScore_Rubric
A100000,Substation Equipment,Electric,N/A,1991-01-29,34.5,5,1994-01-21,2024-07-04,South Bay,37.30311995831795,-121.96467628244235,,Composite,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100001,Test Station,Gas,Distribution,1982-03-30,43.4,2,1985-04-04,2024-06-27,Sierra,39.035054557898285,-120.52377117006102,2.0905142795415212,Steel,Coal Tar,ERW,74.30237202695929,N,2.0,1.0,CP150,Adequate,2025-04-27,-903.9744076195452,2023-12-18,3.0,1,6.0
A100002,Substation Equipment,Electric,N/A,1969-10-28,55.8,1,1977-08-03,2024-06-11,East Bay,37.89293123129027,-122.12316581136179,,Composite,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100003,Substation Equipment,Electric,N/A,1996-07-07,29.1,2,1999-09-01,2024-11-25,Central Coast,36.58482988292676,-121.83439662288042,,N/A,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100004,Regulator Station,Gas,Transmission,1997-08-22,28.0,2,2003-01-27,2023-06-30,Central Coast,36.3318033401517,-121.8263529074237,32.08969149145859,N/A,Tape Wrap,ERW,215.64762335917288,N,3.0,4.0,CP396,Underprotected,2024-08-29,-881.77830329622,2019-10-01,0.0,0,9.0
A100005,Overhead Line,Electric,N/A,2002-08-19,23.0,5,2006-11-10,2024-02-04,Sierra,39.018628149700746,-120.31364367832845,,Aluminum,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100006,Test Station,Gas,Transmission,1956-11-14,68.7,5,1963-07-13,2024-10-26,San Francisco,37.69980836510391,-122.4432274538642,21.837584951994028,N/A,None/Unknown,SAW,297.87223058954913,N,1.0,5.0,CP283,Underprotected,2024-12-03,-826.5786251557005,2024-04-06,4.0,1,10.0
A100007,Test Station,Gas,Distribution,1988-05-29,37.2,2,1993-05-17,2025-05-24,Central Coast,36.62912038388722,-121.75196508799688,15.7740804599453,Steel,FBE,Seamless,60.0,N,3.0,3.0,CP212,Adequate,2025-05-26,-944.6399895429013,2023-05-05,2.0,0,5.0
A100008,Test Station,Gas,Transmission,1984-06-09,41.2,3,1990-12-27,2024-02-11,East Bay,37.758827192002144,-121.97122912035482,18.31766213285783,Steel,Coal Tar,SAW,291.99266749854354,N,3.0,2.0,CP711,Underprotected,2025-01-05,-874.6569358461154,2020-12-15,4.0,1,9.0
A100009,CP Rectifier,Gas,Transmission,2009-07-17,16.1,2,2013-01-23,2024-06-29,Sierra,39.11914174260375,-120.56683215746999,17.045369560779257,Steel,N/A,ERW,227.12028477379303,N,1.0,1.0,CP555,Adequate,2024-11-02,-1015.2251310473662,2022-07-06,4.0,1,4.0
