ScheduleID,CrewID,Date,AssignedWorkOrderID,HoursAssigned
SC101_2025-07-24,C101,2025-07-24,WO200097,4
SC101_2025-07-25,C101,2025-07-25,,8
SC101_2025-07-26,C101,2025-07-26,,0
SC101_2025-07-27,C101,2025-07-27,WO200020,2
SC101_2025-07-28,C101,2025-07-28,WO200031,4
SC101_2025-07-29,C101,2025-07-29,WO200216,8
SC101_2025-07-30,C101,2025-07-30,,6
SC101_2025-07-31,C101,2025-07-31,WO200200,8
SC101_2025-08-01,C101,2025-08-01,,4
SC101_2025-08-02,C101,2025-08-02,WO200172,4
SC101_2025-08-03,C101,2025-08-03,,2
SC101_2025-08-04,C101,2025-08-04,WO200026,8
SC101_2025-08-05,C101,2025-08-05,WO200126,6
SC101_2025-08-06,C101,2025-08-06,WO200175,8
SC101_2025-08-07,C101,2025-08-07,WO200118,8
SC101_2025-08-08,C101,2025-08-08,WO200158,6
SC101_2025-08-09,C101,2025-08-09,WO200124,2
SC101_2025-08-10,C101,2025-08-10,WO200133,2
SC101_2025-08-11,C101,2025-08-11,WO200082,8
SC101_2025-08-12,C101,2025-08-12,WO200100,8
SC101_2025-08-13,C101,2025-08-13,WO200086,6
SC102_2025-07-24,C102,2025-07-24,WO200035,4
SC102_2025-07-25,C102,2025-07-25,WO200086,6
SC102_2025-07-26,C102,2025-07-26,,2
SC102_2025-07-27,C102,2025-07-27,,0
SC102_2025-07-28,C102,2025-07-28,WO200094,6
SC102_2025-07-29,C102,2025-07-29,WO200220,4
SC102_2025-07-30,C102,2025-07-30,,4
SC102_2025-07-31,C102,2025-07-31,WO200098,6
SC102_2025-08-01,C102,2025-08-01,WO200150,4
SC102_2025-08-02,C102,2025-08-02,WO200174,2
SC102_2025-08-03,C102,2025-08-03,,0
SC102_2025-08-04,C102,2025-08-04,WO200213,8
SC102_2025-08-05,C102,2025-08-05,,8
SC102_2025-08-06,C102,2025-08-06,WO200058,4
SC102_2025-08-07,C102,2025-08-07,WO200087,8
SC102_2025-08-08,C102,2025-08-08,WO200165,8
SC102_2025-08-09,C102,2025-08-09,,4
SC102_2025-08-10,C102,2025-08-10,WO200188,4
SC102_2025-08-11,C102,2025-08-11,,8
SC102_2025-08-12,C102,2025-08-12,WO200060,6
SC102_2025-08-13,C102,2025-08-13,,8
SC103_2025-07-24,C103,2025-07-24,WO200078,8
SC103_2025-07-25,C103,2025-07-25,WO200097,4
SC103_2025-07-26,C103,2025-07-26,WO200166,4
SC103_2025-07-27,C103,2025-07-27,WO200048,2
SC103_2025-07-28,C103,2025-07-28,WO200007,8
SC103_2025-07-29,C103,2025-07-29,,6
SC103_2025-07-30,C103,2025-07-30,WO200064,8
SC103_2025-07-31,C103,2025-07-31,,6
SC103_2025-08-01,C103,2025-08-01,,6
SC103_2025-08-02,C103,2025-08-02,WO200170,2
SC103_2025-08-03,C103,2025-08-03,WO200032,4
SC103_2025-08-04,C103,2025-08-04,,6
SC103_2025-08-05,C103,2025-08-05,,4
SC103_2025-08-06,C103,2025-08-06,WO200183,6
SC103_2025-08-07,C103,2025-08-07,WO200062,6
SC103_2025-08-08,C103,2025-08-08,,6
SC103_2025-08-09,C103,2025-08-09,WO200179,2
SC103_2025-08-10,C103,2025-08-10,WO200187,4
SC103_2025-08-11,C103,2025-08-11,WO200023,6
SC103_2025-08-12,C103,2025-08-12,,8
SC103_2025-08-13,C103,2025-08-13,WO200160,6
SC104_2025-07-24,C104,2025-07-24,,6
SC104_2025-07-25,C104,2025-07-25,WO200100,4
SC104_2025-07-26,C104,2025-07-26,WO200109,2
SC104_2025-07-27,C104,2025-07-27,WO200073,2
SC104_2025-07-28,C104,2025-07-28,,8
SC104_2025-07-29,C104,2025-07-29,,8
SC104_2025-07-30,C104,2025-07-30,WO200197,6
SC104_2025-07-31,C104,2025-07-31,,8
SC104_2025-08-01,C104,2025-08-01,WO200129,6
SC104_2025-08-02,C104,2025-08-02,WO200217,2
SC104_2025-08-03,C104,2025-08-03,WO200130,4
SC104_2025-08-04,C104,2025-08-04,,4
SC104_2025-08-05,C104,2025-08-05,WO200209,8
SC104_2025-08-06,C104,2025-08-06,WO200028,6
SC104_2025-08-07,C104,2025-08-07,,6
SC104_2025-08-08,C104,2025-08-08,WO200182,8
SC104_2025-08-09,C104,2025-08-09,,0
SC104_2025-08-10,C104,2025-08-10,WO200125,2
SC104_2025-08-11,C104,2025-08-11,,6
SC104_2025-08-12,C104,2025-08-12,WO200177,8
SC104_2025-08-13,C104,2025-08-13,,8
SC105_2025-07-24,C105,2025-07-24,WO200085,4
SC105_2025-07-25,C105,2025-07-25,WO200173,6
SC105_2025-07-26,C105,2025-07-26,,0
SC105_2025-07-27,C105,2025-07-27,WO200025,2
SC105_2025-07-28,C105,2025-07-28,,4
SC105_2025-07-29,C105,2025-07-29,,6
SC105_2025-07-30,C105,2025-07-30,,8
SC105_2025-07-31,C105,2025-07-31,,6
SC105_2025-08-01,C105,2025-08-01,WO200018,8
SC105_2025-08-02,C105,2025-08-02,WO200185,4
SC105_2025-08-03,C105,2025-08-03,,0
SC105_2025-08-04,C105,2025-08-04,WO200074,6
SC105_2025-08-05,C105,2025-08-05,WO200064,8
SC105_2025-08-06,C105,2025-08-06,WO200036,4
SC105_2025-08-07,C105,2025-08-07,,8
SC105_2025-08-08,C105,2025-08-08,,4
SC105_2025-08-09,C105,2025-08-09,,0
SC105_2025-08-10,C105,2025-08-10,,0
SC105_2025-08-11,C105,2025-08-11,,6
SC105_2025-08-12,C105,2025-08-12,WO200107,8
